seed,query_id,variant,runtime_ms
47,q4_balanced_discovery,LEA iter20,28.08887500000168
47,q4_balanced_discovery,LEA iter40,59.97966700000035
47,q4_balanced_discovery,LEA iter100,144.83904099999734
47,q4_balanced_discovery,LEA pool50,154.02658400000035
47,q4_balanced_discovery,LEA pool200,140.40812500000044
47,q5_insulating_frameworks,SemanticOnly,0.06466600000010203
47,q5_insulating_frameworks,WeightedSum,0.09674999999731426
47,q5_insulating_frameworks,MMR,2.0411670000015647
47,q5_insulating_frameworks,RandomRepeated,0.06441600000073322
47,q5_insulating_frameworks,LEA baseline,108.9970419999986
47,q5_insulating_frameworks,LEA no diversity,139.47420799999577
47,q5_insulating_frameworks,LEA no balance,88.03708399999977
47,q5_insulating_frameworks,LEA no self-cleaning,85.10862499999661
47,q5_insulating_frameworks,LEA pop20,56.86845900000037
47,q5_insulating_frameworks,LEA pop50,144.22641699999872
47,q5_insulating_frameworks,LEA pop100,292.4249999999944
47,q5_insulating_frameworks,LEA iter20,28.181666999998356
47,q5_insulating_frameworks,LEA iter40,58.85866600000611
47,q5_insulating_frameworks,LEA iter100,148.50112499999568
47,q5_insulating_frameworks,LEA pool50,104.10625000000095
47,q5_insulating_frameworks,LEA pool200,181.60720799999552
48,q1_co2_adsorption,SemanticOnly,0.08579200000013998
48,q1_co2_adsorption,WeightedSum,0.08854200000030232
48,q1_co2_adsorption,MMR,3.7932079999976054
48,q1_co2_adsorption,RandomRepeated,0.06862499999726879
48,q1_co2_adsorption,LEA baseline,248.05666600000364
48,q1_co2_adsorption,LEA no diversity,86.09633300000041
48,q1_co2_adsorption,LEA no balance,87.08129199999348
48,q1_co2_adsorption,LEA no self-cleaning,84.6603330000022
